name,website_url,skip_reason,detail,added (y/n)
Anotheroneraffles,https://anotheroneraffles.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 anotheroneraffles.co.uk Performing,
Apex Competition,https://apex-competition.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 apex-competition.co.uk Performing s,
Borders Competitions,https://borderscompetitions.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 borderscompetitions.co.uk Performin,
Bubbl Win Ltd,https://bubbl.win,No findable draws (SPA/thin),only 0 draw-like links (4745b),
Caledonia Competitions,https://caledoniacompetitions.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 caledoniacompetitions.co.uk Perform,
Carp Fishing Draws Giveaways,https://fishingdraws.co.uk,No findable draws (SPA/thin),only 0 draw-like links (11880b),
Chaotic,https://chaotic.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 chaotic.co.uk Performing security v,
Collectible Competitions,https://collectiblecompetitions.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 collectiblecompetitions.co.uk Perfo,
DD Competitions,https://www.ddcompetitions.com,Bot-blocked (403/Cloudflare),HTTP 403 ddcompetitions.com Performing secur,
Diamond Draws,https://www.diamonddraws.com,No findable draws (SPA/thin),only 0 draw-like links (3391b),
East Anglia Competitions Ltd,https://eastangliacompetitions.co.uk,Broken SSL/cert,goto: net::ERR_CERT_COMMON_NAME_INVALID at ht,
Flex Competitions,https://flexcompetitions.co.uk,No findable draws (SPA/thin),only 0 draw-like links (4799b),
Gallowaygiveaways,https://gallowaygiveaways.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 gallowaygiveaways.co.uk Performing,
Ignite Comps,https://www.ignitecomps.co.uk,No findable draws (SPA/thin),only 0 draw-like links (4693b),
Make me a Winner,https://makemeawinner.co.uk,No findable draws (SPA/thin),only 0 draw-like links (727b),
Nitrous Competitions,https://www.nitrouscompetitions.com,No findable draws (SPA/thin),only 0 draw-like links (45b),
Optimised Odds,https://optimisedodds.com,Bot-blocked (403/Cloudflare),HTTP 403 optimisedodds.com Performing securi,
Phatlads,https://phatlads.com,No findable draws (SPA/thin),only 0 draw-like links (0b),
Phatstax,https://phatstax.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 phatstax.co.uk Performing security,
Play Competitions,https://play-competitions.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 play-competitions.co.uk Performing,
Prize Hub UK,https://www.prizehubuk.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 prizehubuk.co.uk Performing securit,
Radiance Rewards,https://radiancerewards.co.uk,No findable draws (SPA/thin),only 0 draw-like links (1882b),
Red Hot Raffles,https://www.redhotraffles.co.uk,No findable draws (SPA/thin),only 0 draw-like links (2834b),
Ruby Competitions Ltd,https://rubycompetitions.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 rubycompetitions.co.uk Performing s,
Speedcompetitions,https://speedcompetitions.co.uk,Bot-blocked (403/Cloudflare),HTTP 403 speedcompetitions.co.uk Performing,
TWD Competitions,https://thewatchdraws.com,No findable draws (SPA/thin),only 0 draw-like links (1595b),
Winmore,https://winmore.uk,No findable draws (SPA/thin),only 0 draw-like links (2026b),
Winner Winner Chicken Dinner,https://www.winnerwinnerchickendinner.co.uk,No findable draws (SPA/thin),only 0 draw-like links (7695b),
